ID,CFR_prediction,gold,rawLevenshteinED,phonemewiseLevenshteinED,featureED,pred_phone_length,gold_phone_length
0,/blˈed/,/blˈed̪o/,2,0.4,0.8269230769230769,4,5
1,/blˈɑn̪do/,/blˈɑn̪d̪o/,1,0.16666666666666666,0.038461538461538464,6,6
2,/blˌɑn̪dˈediɑ/,/blɑn̪d̪ˈeθɑ/,4,0.5,0.7692307692307693,9,8
3,/bɾˈiθjo/,/bɾˈɑθo/,2,0.4,0.7307692307692307,6,5
4,/bɾˈɑɡɑ/,/bɾˈɑɡɑ/,0,0.0,0.0,5,5
5,/bɾjˌeθiˈɑl/,/bɾɑθˈɑl/,3,0.5,1.1730769230769231,8,6
6,/bɾˌiθjuˈel/,/bɾɑθwˈelo/,4,0.5,1.3076923076923077,8,8
7,/bˈiʎo/,/bˈeʝo/,2,0.5,0.11538461538461539,4,4
8,/bjˈen̪/,/bjˈen̪/,0,0.0,0.0,4,4
9,/bˈebɾɑ/,/bɾˈebɑ/,2,0.4,0.8076923076923077,5,5
10,/bwˈen̪/,/bwˈen̪o/,1,0.2,0.7307692307692307,4,5
11,/bweˈe/,/bwˈej/,2,0.5,0.19230769230769232,4,4
12,/bwˈiθjo/,/bˈoθo/,3,0.75,1.3076923076923077,6,4
13,/bˈokɑ/,/bˈokɑ/,0,0.0,0.0,4,4
14,/bˈorlɑ/,/bˈoɾlɑ/,1,0.2,0.057692307692307696,5,5
15,/bˈɑxjo/,/bˈɑʝo/,2,0.5,0.5961538461538461,5,4
16,/bjˈeɡɑ/,/bˈeɡɑ/,1,0.25,0.4230769230769231,5,4
17,/bˈobo/,/bˈobo/,0,0.0,0.0,4,4
18,/bˈolˈest̪ɑ/,/bɑʝˈest̪ɑ/,2,0.2857142857142857,0.4423076923076923,7,7
19,/bˈoɲo/,/bˈɑɲo/,1,0.25,0.11538461538461539,4,4
20,/bˈɑɾbɑ/,/bˈɑɾbɑ/,0,0.0,0.0,5,5
21,/bˈɑse̯jo/,/bˈeso/,3,0.75,0.7692307692307693,6,4
22,/bˈɑso/,/bˈɑxo/,1,0.25,0.21153846153846154,4,4
23,/bˈɑt̪o/,/bˈɑt̪o/,0,0.0,0.0,4,4
24,/bjˌelˈen̪io/,/belˈeɲo/,4,0.6666666666666666,1.1730769230769231,8,6
25,/bwˌen̪t̪ˈɑd/,/bon̪d̪ˈɑd̪/,4,0.6666666666666666,0.7692307692307693,7,6
26,/bˌorˈɑɲi/,/borˈen̪/,4,0.8,0.8076923076923077,6,5
27,/bˌɑɾbˈiʎɑ/,/bɑɾbˈiʝɑ/,2,0.2857142857142857,0.11538461538461539,7,7
28,/bˌɑɾbjˈelɑ/,/bɑɾbˈɑxɑ/,4,0.5714285714285714,0.8653846153846154,8,7
29,/bˌɑsiˈɑɾ/,/besˈɑɾ/,2,0.4,0.8076923076923077,6,5
30,/bˌɑsiˈɑɾ/,/bɑxˈɑɾ/,3,0.6,0.9038461538461539,6,5
31,/bˌoɡˈɑl/,/bokˈɑl/,2,0.4,0.07692307692307693,5,5
32,/kwˌeɾdˈɑɾjo/,/koɾd̪ˈeɾo/,5,0.7142857142857143,1.4230769230769231,9,7
33,/kˌoɲˈɑd/,/kuɲˈɑd̪o/,3,0.5,0.9038461538461539,5,6
34,/djˈemo/,/d̪jˈeθmo/,2,0.3333333333333333,0.5961538461538461,5,6
35,/dˈɑɲo/,/d̪ˈɑɲo/,1,0.25,0.038461538461538464,4,4
36,/djuˈeso/,/ʝˈuso/,4,1.0,1.3269230769230769,6,4
